state,total_cases
Alaska,6
Arizona,8
Arkansas,16
California,38
Colorado,32
District of Columbia,2
Florida,8
Georgia,12
Hawaii,4
Illinois,20
Indiana,18
Iowa,16
Kansas,180
Kentucky,28
Louisiana,4
Maryland,6
Michigan,54
Minnesota,10
Missouri,14
Montana,60
Nebraska,2
New Jersey,12
New Mexico,192
New York,30
North Carolina,2
North Dakota,72
Ohio,70
Oklahoma,34
Oregon,2
Pennsylvania,26
Rhode Island,2
South Carolina,2
South Dakota,24
Tennessee,12
Texas,1592
Utah,22
Vermont,2
Virginia,6
Washington,20
Wisconsin,18
Wyoming,14
